snapshot_id,snapshot_date,warehouse_id,product_sku,quantity_on_hand,reserved_qty,available_qty,unit_cost,last_received_date,snapshot_date_raw,last_received_date_raw
SNP200000,2025-07-21,WH106,SKU100084,10,2,8,84.94,2025-01-05,21/07/2025,2025/01/05
SNP200001,,WH105,SKU100423,17,3,14,25.96,,07/14/2025,
SNP200002,2025-08-25,WH103,SKU100066,21,5,16,143.51,,25/08/2025,11-Jan-2024
SNP200003,,WH105,SKU100451,22,0,22,₹18,2024-02-05,2024-09-16,2024/02/05
SNP200004,,WH109,SKU100025,21,3,18,119.82,,2025-07-07 00:00:00,10/13/2023
SNP200005,,WH109,SKU100301,12,1,11,43.91,,2024/01/15,10/09/2024
SNP200006,,WH107,SKU100550,21,3,18,79,,2025-02-10,19 Apr 2024
SNP200007,,WH104,SKU100157,27,2,25,₹164,,2024/05/27,11 May 2025
SNP200008,,WH100,SKU100061,15,3,12,₹133,,18 Mar 2024,19-07-2023 11:42:31
SNP200009,2025-05-19,WH108,SKU100204,11,2,9,₹85,,19/05/2025,04 May 2024
SNP200010,2024-08-01,WH102,SKU100224,24,1,23,135.44,2023-05-08,01/08/2024,2023/05/08
SNP200011,,WH102,SKU100258,19,1,18,84.27,,02 Jun 2025,2023-06-04
SNP200012,,WH101,SKU100083,31,1,30,27.92,,2024/02/12,07/01/2025
SNP200013,,WH106,SKU100522,15,4,11,189.03,,18-08-2025 00:00:00,01/25/2025
SNP200014,,WH103,SKU100162,22,2,20,214.19,,2024-02-26,05/20/2024
SNP200015,,WH101,SKU100138,16,0,16,111,,2025-05-05,05/26/2024
SNP200016,,WH100,SKU100436,20,2,18,₹90,,25-11-2024 00:00:00,15-04-2023 04:29:28
SNP200017,2025-09-15,WH108,SKU100404,16,1,15,131,,15/09/2025,22 Feb 2023
SNP200018,,WH103,SKU100260,9,2,7,132.94,2023-05-15,2025-10-06,2023/05/15
SNP200019,2025-05-05,WH104,SKU100500,16,0,16,169,,05/05/2025,2024-02-01
SNP200020,,WH101,SKU100387,24,3,21,179,,01-09-2025 00:00:00,11-05-2023 00:00:00
SNP200021,,WH109,SKU100395,17,2,15,84,,16-09-2024 00:00:00,03-04-2024 00:00:00
SNP200022,,WH107,SKU100013,22,0,22,140,,2024-08-12,2024-06-04
SNP200023,,WH104,SKU100535,12,1,11,218.29,,07-Apr-2025,25-10-2024 00:00:00
SNP200024,,WH101,SKU100172,21,4,17,155.90,,22-12-2025 00:00:00,18-Mar-2024
SNP200025,,WH106,SKU100471,17,4,13,86,,2024-09-16,
SNP200026,,WH104,SKU100220,21,2,19,72.02,,2024-01-15,04 Feb 2023
SNP200027,,WH106,SKU100147,18,3,15,₹262,,12/30/2024,11-01-2024 00:00:00
SNP200028,2025-04-21,WH100,SKU100325,14,1,13,₹111,,21/04/2025,06/15/2025
SNP200029,,WH105,SKU100325,14,3,11,203.76,,2025-12-08 00:00:00,19-07-2023 16:20:18
SNP200030,,WH103,SKU100052,15,1,14,98.68,,2025-09-15 00:00:00,
SNP200031,,WH107,SKU100426,20,1,19,124,,2025-02-10 00:00:00,
SNP200032,,WH108,SKU100568,8,1,7,100.72,,04 Aug 2025,16/07/2024
SNP200033,2025-10-13,WH103,SKU100478,12,1,11,₹169,,13/10/2025,13-Oct-2025
SNP200034,2024-12-02,WH103,SKU100008,18,0,18,131.68,,02/12/2024,
SNP200035,,WH106,SKU100562,19,1,18,19.30,,08 Sep 2025,10 Jul 2025
SNP200036,2024-08-07,WH108,SKU100582,29,1,28,179.18,,07/08/2024,28/01/2024
SNP200037,,WH108,SKU100136,11,1,10,₹36,,2025/12/01,
SNP200038,,WH103,SKU100093,15,3,12,185.97,,06-01-2025 00:00:00,11/04/2023
SNP200039,,WH105,SKU100078,17,0,17,92.77,,06-May-2024,20-Aug-2025
SNP200040,,WH109,SKU100136,20,3,17,154.56,,2025-04-14 00:00:00,
SNP200041,,WH104,SKU100087,14,5,9,108.28,,2025-04-07 00:00:00,03/19/2023
SNP200042,,WH100,SKU100246,25,1,24,225.93,,2025-11-17,16 Nov 2025
SNP200043,,WH107,SKU100148,22,2,20,₹143,,28-04-2025 00:00:00,23 Mar 2025
SNP200044,2025-12-08,WH102,SKU100329,16,1,15,23.47,,08/12/2025,10/24/2024
