transaction_id,transaction_date,customer_id,store_id,product_sku,quantity,unit_price,total_amount,discount_amount,payment_type,fulfilled_by_warehouse_id,return_flag,promo_code
T1000000,01/22/2025,116888.0,DM0016,SKU100440,2,45.79,91.58,15.97,credit,WH102,N,FIRST50
T1000001,13-08-2024 21:23:00,104814.0,DM0014,SKU100084,2,₹911,1823.24,127.79,credit,WH100,N,FEST20
T1000002,19/05/2025,118763.0,DM0196,SKU100076,2,238.82,477.64,61.19,UPI,WH103,N,FEST20
T1000003,2024-02-26,104828.0,DM0193,SKU100530,0,654.4,0.0,0.0,credit,WH101,N,FEST20
T1000004,02-04-2025 00:00:00,119385.0,DM0086,SKU100390,18,1019.37,18348.66,1051.59,UPI,WH107,N,
T1000005,28-09-2024 00:00:00,114469.0,DM0087,SKU100173,1,80.42,80.42,14.3,card,WH102,N,
T1000006,2025/08/07,118596.0,DM0041,SKU100054,1,467,467.71,111.14,UPI,WH107,N,
T1000007,26 Feb 2025,104317.0,DM0065,SKU100200,3,₹331,994.17,249.39,cash,WH102,N,FIRST50
T1000008,14 Jun 2024,105469.0,DM0050,SKU100248,3,1812.6,5437.8,113.71,cash,WH107,N,FEST20
T1000009,2025-05-16 00:00:00,100100.0,DM0044,SKU100140,1,₹395,395.75,82.7,card,WH101,N,FEST20
T1000010,2024-11-29,104340.0,DM0069,SKU100138,2,161.58,323.16,77.15,credit,WH106,N,
T1000011,2025-10-30,104053.0,DM0124,SKU100118,1,482.96,482.96,11.31,card,WH108,N,NEW10
T1000012,2025-07-11,118065.0,DM0027,SKU100441,1,307.27,307.27,20.97,cash,WH108,N,FEST20
T1000013,23-Jun-2024,119482.0,DM0148,SKU100411,1,572.99,758.4,104.34,credit,WH103,N,FIRST50
T1000014,04/13/2024,118148.0,DM0106,SKU100553,2,1292.91,2585.82,496.94,card,WH104,N,
T1000015,2024-05-05 00:00:00,110165.0,DM0017,SKU100284,3,104,312.06,5.76,card,WH109,N,
T1000016,22-Apr-2024,112406.0,DM0013,SKU100089,4,630.25,2521.0,303.63,credit,WH106,N,FIRST50
T1000017,2024/07/22,110879.0,DM0113,SKU100555,1,486.77,486.77,45.41,card,WH101,N,
T1000018,12-May-2024,115592.0,DM0110,SKU100459,1,926.49,926.49,3.46,UPI,WH107,N,NEW10
T1000019,25/02/2024,111998.0,DM0106,SKU100023,1,422,422.84,1.39,credit,WH108,N,SUMMER5
T1000020,2024-10-19,117395.0,DM0109,SKU100121,1,473.71,473.71,82.79,card,WH105,N,FEST20
T1000021,05/07/2024,108125.0,DM0056,SKU100578,2,230.82,461.64,111.84,UPI,WH102,N,SUMMER5
T1000022,05 Mar 2025,117407.0,DM0121,SKU100363,2,23.07,46.14,7.46,UPI,WH109,N,OLD_PROMO
T1000023,23-Dec-2025,103345.0,DM0113,SKU100064,1,493.58,493.58,22.59,credit,WH106,Y,
T1000024,10-09-2024 00:00:00,113989.0,DM0185,SKU100494,1,₹913,1087.71,210.13,card,WH104,N,FIRST50
T1000025,15/05/2025,112258.0,DM0083,SKU100536,1,67.93,67.93,19.93,card,WH104,N,OLD_PROMO
T1000026,2024-09-26,114765.0,DM0086,SKU100026,2,250.52,501.04,20.65,cash,WH101,N,FIRST50
T1000027,2025-05-21 00:00:00,100448.0,DM0090,SKU100544,1,₹378,378.09,79.14,card,WH100,N,FEST20
T1000028,2024-05-23 00:00:00,102979.0,DM0049,SKU100078,1,486.98,486.98,52.54,credit,WH106,N,FIRST50
T1000029,2024-05-16,108617.0,DM0012,SKU100189,4,255.64,1022.56,66.63,UPI,WH107,N,OLD_PROMO
T1000030,06-Sep-2024,111464.0,DM0115,SKU100066,1,₹781,781.62,40.34,card,WH102,N,FIRST50
T1000031,2025-11-29,104118.0,DM0118,SKU100352,2,545.31,1090.62,166.54,credit,WH108,N,
T1000032,2024-01-18,105784.0,DM0139,SKU100041,1,₹975,975.96,73.37,UPI,WH101,N,
T1000033,2025/06/02,111440.0,DM0149,SKU100383,3,337.52,1012.56,285.75,UPI,WH106,N,FEST20
T1000034,2024-08-03,112862.0,DM0198,SKU100308,3,123.77,371.31,77.94,cash,WH109,N,OLD_PROMO
T1000035,07/11/2024,107553.0,DM0102,SKU100068,3,330.97,992.91,83.23,UPI,WH106,N,FEST20
T1000036,05/03/2024,107357.0,DM0093,SKU100218,2,312.42,624.84,176.26,cash,WH108,N,NEW10
T1000037,18 Dec 2024,103370.0,DM0187,SKU100051,2,19,39.44,9.29,credit,WH101,N,SUMMER5
T1000038,30/11/2025,110974.0,DM0072,SKU100295,24,1789.69,42952.56,8056.36,credit,WH101,N,OLD_PROMO
T1000039,29-Jul-2024,109016.0,DM0002,SKU100222,1,1266.44,1266.44,105.23,UPI,WH107,N,SUMMER5
T1000040,2025-10-11,103794.0,DM0038,SKU100216,1,378.1,378.1,68.93,UPI,WH109,N,OLD_PROMO
T1000041,29 Mar 2024,108854.0,DM0040,SKU100333,1,319,319.74,89.58,credit,WH103,N,
T1000042,08-10-2025 00:00:00,103246.0,DM0124,SKU100412,3,784.31,2352.93,39.65,credit,WH102,N,
T1000043,21 Aug 2025,114457.0,DM0194,SKU100239,1,302.21,302.21,81.87,credit,WH108,N,
T1000044,05/07/2025,106670.0,DM0081,SKU100463,1,26.24,26.24,7.44,UPI,WH100,N,FIRST50
T1000045,07/02/2024,106552.0,DM0053,SKU100095,5,107.88,539.4,113.63,credit,WH106,N,NEW10
T1000046,2025/04/17,119052.0,DM0145,SKU100381,3,486.67,1460.01,395.74,card,WH107,N,
T1000047,22/06/2025,112658.0,DM0103,SKU100304,1,48.55,48.55,13.4,card,WH104,N,NEW10
T1000048,30 Jun 2025,100190.0,DM0179,SKU100249,1,915.92,915.92,95.55,credit,WH101,N,OLD_PROMO
T1000049,04-09-2024 04:52:42,114503.0,DM0094,SKU100097,2,373.87,747.74,78.99,cash,WH106,Y,FEST20
T1000050,24-04-2024 00:00:00,104298.0,DM0191,SKU100529,1,1274.65,1274.65,369.87,credit,WH105,N,
T1000051,19-10-2024 00:00:00,103753.0,DM0035,SKU100480,1,208.33,208.33,15.96,UPI,WH108,N,OLD_PROMO
T1000052,29 Mar 2025,111273.0,DM0200,SKU100581,1,531.64,531.64,56.76,credit,WH109,N,NEW10
T1000053,2025-06-26,118044.0,DM0088,SKU100116,3,248.37,745.11,61.17,card,WH108,N,
T1000054,2025-08-01,108810.0,DM0011,SKU100308,3,116,350.67,54.34,cash,WH103,N,FEST20
T1000055,2025-08-13 00:00:00,106069.0,DM0031,SKU100474,1,23.17,23.17,4.39,credit,WH109,N,NEW10
T1000056,24-Jun-2024,110908.0,DM0005,SKU100458,2,333.67,667.34,152.71,card,WH100,N,FEST20
T1000057,2024-12-19 00:00:00,119205.0,DM0024,SKU100092,2,77.52,155.04,13.0,card,WH102,N,FIRST50
