product_sku,product_name,category,subcategory,brand,mrp,cost_price,unit,weight_g,pack_size,active_flag
SKU100000,GlowPlus Staples Natural,Grocery ,Staples ,GlowPlus,715.02,599.74,kg,3448.0,10,Y
SKU100001,DailyDelight Packaged Foods Regular,grocery,Packaged Foods,DailyDelight,265.03,210.73,pcs,63.0,2,Y
SKU100002,HomeEase Skin Care Natural,personal care,Skin Care ,HomeEase,₹164,,l,,6,Y
SKU100003,PurePlus Home Care Regular,Household ,home care,PurePlus,220.19,195.65,pcs,1718.0,1,Y
SKU100004,DailyDelight Packaged Foods Regular,grocery,packaged foods,DailyDelight,1122.41,805.57,l,,10,Y
SKU100005,CleanHome Hair Care Plus,Personal Care ,Hair Care ,CleanHome,971.73,652,pcs,,6,Y
SKU100006,TechNova Small Appliances Premium,electronics,Small Appliances ,TechNova,39,33.73,l,,1,Y
SKU100007,DailyDelight Small Appliances Regular,electronics,Small Appliances,DailyDelight,613.02,,kg,3472.0,10,Y
SKU100008,FreshFarm Oral Care Regular,Personal Care,Oral Care ,FreshFarm,486.53,376,pcs,1040.0,2,Y
SKU100009,DmartBasic Skin Care Classic,Personal Care ,Skin Care,DmartBasic,858.2,748.38,pcs,,2,N
SKU100010,TasteMax Home Care Plus,Household,Home Care,TasteMax,326,216.62,l,1861.0,2,Y
SKU100011,TechNova Cleaning Classic,Household ,cleaning,TechNova,518.89,464.27,g,64.0,1,Y
SKU100012,FreshFarm Home Care Premium,Household ,Home Care,FreshFarm,1143.07,822.05,l,,6,Y
SKU100013,GreenFields Staples Plus,Grocery,staples,GreenFields,201.32,144.54,kg,1394.0,2,Y
SKU100014,DmartBasic Fresh Fruits Plus,Fruits & Veg,Fresh Fruits,DmartBasic,55.83,41.14,kg,4851.0,2,Y
SKU100015,GreenFields Accessories Premium,Electronics ,Accessories ,GreenFields,366.71,305.73,l,,10,Y
SKU100016,DmartBasic Beverages Premium,Grocery ,Beverages,DmartBasic,95.49,84,g,161.0,10,Y
SKU100017,HomeEase Fresh Fruits Regular,Fruits & Veg,Fresh Fruits,HomeEase,154.95,136.28,pcs,448.0,4,Y
SKU100018,PurePlus Accessories Regular,electronics,Accessories ,PurePlus,280.49,214.74,g,1870.0,1,Y
SKU100019,DailyDelight Fresh Fruits Premium,Fruits & Veg ,fresh fruits,DailyDelight,₹436,359.84,g,566.0,1,Y
SKU100020,GlowPlus Fresh Vegetables Classic,fruits & veg,Fresh Vegetables ,GlowPlus,810.9,546.28,kg,3245.0,4,Y
SKU100021,PurePlus Accessories Natural,Electronics,accessories,PurePlus,488.47,430.43,g,1114.0,4,N
SKU100022,CleanHome Home Care Premium,household,Home Care ,CleanHome,645.19,473.10,l,1511.0,2,Y
SKU100023,FreshFarm Utensils Plus,Household ,Utensils,FreshFarm,₹515,362.38,kg,4321.0,2,Y
SKU100024,GlowPlus Small Appliances Natural,Electronics ,small appliances,GlowPlus,696.65,476.45,pcs,,10,Y
SKU100025,HomeEase Staples Plus,grocery,Staples,HomeEase,404.83,320.37,pcs,,10,Y
SKU100026,TechNova Fresh Fruits Natural,fruits & veg,Fresh Fruits ,TechNova,259.9,205.89,pcs,1344.0,1,Y
SKU100027,GreenFields Cleaning Natural,Household ,Cleaning ,GreenFields,140.01,102.73,g,1250.0,4,Y
SKU100028,TasteMax Skin Care Regular,Personal Care ,skin care,TasteMax,46.68,₹36,l,1922.0,2,Y
SKU100029,FreshFarm Cleaning Natural,Household ,Cleaning ,FreshFarm,"1,033",923.85,l,1549.0,6,Y
SKU100030,GreenFields Staples Plus,Grocery ,Staples ,GreenFields,468.14,395.71,l,,2,Y
SKU100031,HomeEase Skin Care Plus,Personal Care ,skin care,HomeEase,115.73,₹80,l,1118.0,2,Y
SKU100032,TasteMax Utensils Premium,Household,Utensils,TasteMax,114.15,100.52,pcs,,10,Y
SKU100033,TechNova Small Appliances Classic,electronics,small appliances,TechNova,815.94,623.66,g,1674.0,6,N
SKU100034,DailyDelight Small Appliances Plus,Electronics,small appliances,DailyDelight,1097.4,782,g,1002.0,4,Y
SKU100035,DailyDelight Home Care Plus,household,home care,DailyDelight,796.93,711.86,kg,603.0,6,Y
SKU100036,GlowPlus Skin Care Regular,Personal Care,Skin Care,GlowPlus,272.73,194.18,pcs,967.0,10,Y
SKU100037,HomeEase Cleaning Regular,Household,Cleaning,HomeEase,153.52,₹132,kg,2907.0,2,Y
SKU100038,HomeEase Hair Care Natural,Personal Care ,Hair Care,HomeEase,36.19,₹32,l,,2,Y
SKU100039,TechNova Fresh Fruits Plus,fruits & veg,Fresh Fruits ,TechNova,211.95,162,kg,2629.0,4,Y
SKU100040,FreshFarm Utensils Plus,Household,Utensils,FreshFarm,980.07,702.27,pcs,1843.0,6,Y
SKU100041,CleanHome Skin Care Premium,personal care,Skin Care ,CleanHome,1197.0,852.72,l,,6,Y
SKU100042,DmartBasic Oral Care Premium,Personal Care,oral care,DmartBasic,627,483.86,g,1454.0,6,Y
SKU100043,HomeEase Utensils Regular,Household,Utensils ,HomeEase,120.57,97.39,pcs,,10,Y
SKU100044,PurePlus Utensils Natural,Household,Utensils,PurePlus,323.99,231.42,g,424.0,6,Y
SKU100045,TechNova Hair Care Regular,personal care,Hair Care,TechNova,1307.4,,g,585.0,1,Y
SKU100046,TasteMax Beverages Classic,Grocery,Beverages ,TasteMax,373.55,291.49,kg,1412.0,6,Y
SKU100047,CleanHome Hair Care Plus,Personal Care ,Hair Care ,CleanHome,154.1,134.13,g,1563.0,6,Y
SKU100048,CleanHome Staples Classic,Grocery,Staples,CleanHome,197.75,147,kg,954.0,2,Y
SKU100049,GlowPlus Oral Care Plus,personal care,Oral Care,GlowPlus,623.5,451.57,g,1852.0,10,Y
SKU100050,FreshFarm Staples Plus,Grocery,Staples ,FreshFarm,255.86,179.57,pcs,,6,Y
SKU100051,TechNova Snacks Classic,Grocery,Snacks,TechNova,29.52,,g,1926.0,10,N
SKU100052,GlowPlus Small Appliances Regular,electronics,Small Appliances ,GlowPlus,1027.26,877.92,l,967.0,6,Y
SKU100053,PurePlus Snacks Plus,grocery,Snacks ,PurePlus,492.57,404.58,l,1659.0,1,Y
SKU100054,CleanHome Accessories Classic,Electronics ,Accessories,CleanHome,450.21,375.13,pcs,,6,Y
SKU100055,PurePlus Fresh Vegetables Plus,fruits & veg,fresh vegetables,PurePlus,1096.21,925,kg,2415.0,1,Y
SKU100056,DailyDelight Utensils Regular,household,Utensils ,DailyDelight,139.5,120.51,g,1735.0,4,Y
SKU100057,FreshFarm Fresh Vegetables Plus,fruits & veg,Fresh Vegetables,FreshFarm,₹131,103.97,pcs,,10,Y
SKU100058,TechNova Accessories Classic,electronics,Accessories,TechNova,440.27,314.28,l,,2,Y
SKU100059,DmartBasic Fresh Vegetables Natural,fruits & veg,fresh vegetables,DmartBasic,₹512,₹368,g,196.0,4,Y
SKU100060,HomeEase Accessories Classic,Electronics,accessories,HomeEase,₹527,465.59,pcs,1506.0,6,Y
SKU100061,GreenFields Skin Care Plus,personal care,Skin Care ,GreenFields,71.73,61.95,g,381.0,1,N
SKU100062,GlowPlus Skin Care Plus,personal care,skin care,GlowPlus,243.04,178,l,1371.0,2,Y
SKU100063,TasteMax Utensils Plus,Household,Utensils ,TasteMax,644.96,₹563,pcs,,4,Y
SKU100064,CleanHome Small Appliances Classic,Electronics ,Small Appliances,CleanHome,591.43,442.53,g,1261.0,2,Y
SKU100065,TechNova Beverages Natural,grocery,Beverages ,TechNova,270.79,193,g,1584.0,4,Y
SKU100066,TasteMax Hair Care Regular,Personal Care,hair care,TasteMax,859.35,566.55,g,1727.0,6,Y
