return_id,original_transaction_id,return_date,customer_id,product_sku,return_reason,refund_amount,refund_method,return_date_raw
R300000,T1173485,2025-07-04,105944.0,SKU100383,quality,34.72,card,04/07/2025
R300001,T1058923,,106597.0,SKU100136,quality,173.32,card,07-Jun-2025
R300002,T1199717,,110974.0,SKU100528,quality,250.91,card,2024/03/20
R300003,T1003055,,115724.0,SKU100181,damaged,33.25,UPI,2024-12-02
R300004,T1188645,,119583.0,SKU100404,damaged,194.17,card,14-Dec-2024
R300005,T1142254,2025-07-19,106443.0,SKU100216,quality,272.92,card,19/07/2025
R300006,T1083903,,107702.0,SKU100277,quality,193.9,UPI,2025/10/02
R300007,T1024339,,103406.0,SKU100511,quality,60.19,cash,2025/05/22
R300008,T1137927,,113068.0,SKU100426,wrong item,134.36,card,2025-12-31
R300009,T1132649,,106670.0,SKU100014,wrong item,310.22,cash,12 Dec 2024
R300010,T1106074,,118530.0,SKU100593,other,21.58,cash,06-Nov-2025
R300011,T1082127,2025-05-25,103325.0,SKU100276,quality,255.39,card,25/05/2025
R300012,T1019021,2024-08-01,115996.0,SKU100396,damaged,30.99,card,01/08/2024
R300013,T1186908,2024-09-02,114388.0,SKU100439,other,160.99,UPI,02/09/2024
R300014,T1053324,,108025.0,SKU100290,other,120.37,cash,2024-06-08
R300015,T1003667,2025-09-06,111971.0,SKU100090,wrong item,18.96,UPI,06/09/2025
R300016,T1106554,,102664.0,SKU100065,wrong item,23.34,cash,14 Nov 2024
R300017,T1133284,,116232.0,SKU100226,other,285.15,UPI,03 Oct 2025
R300018,T1071248,2025-03-12,119571.0,SKU100169,damaged,188.24,cash,12/03/2025
R300019,T1083129,,111284.0,SKU100520,quality,150.29,UPI,06/22/2024
R300020,T1102993,2024-08-25,107852.0,SKU100505,wrong item,20.22,cash,25/08/2024
R300021,T1001875,2024-03-12,109219.0,SKU100065,damaged,248.42,card,12/03/2024
R300022,T1171542,,103796.0,SKU100254,damaged,254.02,UPI,13 Apr 2024
R300023,T1008407,2025-12-09,118217.0,SKU100140,other,7.71,cash,09/12/2025
R300024,T1153749,,101631.0,SKU100420,damaged,355.66,cash,2025-03-07
R300025,T10000024,,109639.0,SKU100319,damaged,165.38,UPI,01/19/2024
R300026,T1064563,,110738.0,SKU100141,other,333.14,card,06 Feb 2025
R300027,T1162538,,103557.0,SKU100426,quality,370.34,cash,2025/03/02
R300028,T1109410,,102891.0,SKU100321,quality,271.19,cash,07/23/2024
R300029,T10000028,,118969.0,SKU100489,other,78.44,card,06-09-2025 00:00:00
R300030,T10000029,,104560.0,SKU100514,damaged,92.94,card,29-May-2024
R300031,T1181393,,115079.0,SKU100466,damaged,248.91,cash,2025-04-08
R300032,T1100546,,104308.0,SKU100378,wrong item,193.4,cash,14 Aug 2024
R300033,T1160090,,107061.0,SKU100529,wrong item,159.94,card,31-Jan-2024
R300034,T1161069,,116577.0,SKU100052,damaged,181.67,cash,26 Feb 2024
R300035,T1120800,,119161.0,SKU100481,wrong item,117.98,UPI,09/16/2025
R300036,T1174527,,109833.0,SKU100019,damaged,13.78,cash,06 Jan 2024
R300037,T1179219,,101565.0,SKU100299,wrong item,149.87,UPI,18-11-2025 00:00:00
R300038,T1092642,,107989.0,SKU100559,wrong item,175.58,cash,2024/12/11
R300039,T10000038,,106520.0,SKU100338,quality,114.75,UPI,09-Feb-2024
R300040,T1111543,,111048.0,SKU100160,other,127.39,cash,10-08-2024 02:10:28
R300041,T1085461,2024-10-12,116507.0,SKU100054,wrong item,104.86,UPI,12/10/2024
